MySuper Product Name,Fund Name,Annual Return
First State Super MySuper Lifecycle,First State Superannuation Scheme,0.000940491
First Super MySuper,First Super,-0.000519304
Goldman Sachs & JBWere Superannuation Fund_MySuper Product,Goldman Sachs & JBWere Superannuation Fund,-0.000591932
Guild Retirement Fund (MySuper),Guild Retirement Fund,-0.002924972
Core Pool,Health Employees Superannuation Trust Australia,-0.000859906
Balanced option,HOSTPLUS Superannuation Fund,-0.002635024
MySuper,IAG & NRMA Superannuation Plan,-0.001791842
Active Balanced,Incitec Pivot Employees Superannuation Fund,-0.001428801
Intrust MySuper,Intrust Super Fund,0.002467116
IOOF MySuper,IOOF Portfolio Service Superannuation Fund,0.003610584
Kinetic Super _ Growth (MySuper),Kinetic Superannuation Fund,0.027127577
MySuper Balanced,Labour Union Co-Operative Retirement Fund,-0.002051259
MySuper Balanced,legalsuper,0.001676522
LESF MySuper,LESF Super,-0.000282149
Vision MySuper,Local Authorities Superannuation Fund,-0.001391417
MySuper Age Based Investment Strategy,Local Government Super,0
LGIASuper MySuper Lifecycle,Local Government Superannuation Scheme,-2.01997E-05
Balanced Option_MySuper Compliant,Lutheran Super,0.001869658
Moderate investment option,Maritime Super,-3.44313E-05
max Super MySuper,Max Super Fund,0.012091587
MIESF MySuper,Meat Industry Employees Superannuation Fund,0.000112161
Balanced investment option (accumulation),Media Super,-0.006048754
Mercer Santos MySuper,Mercer Super Trust,-0.001349147
Mercer SmartPath,Mercer Super Trust,-0.003488789
Mercer WGSP MySuper,Mercer Super Trust,-0.003490645
MySuper,Mercy Super,-0.001852743
Default Lifecycle,Mine Wealth and Wellbeing Superannuation Fund,-0.000908927
My AutoSuper,MTAA Superannuation Fund,0.000459177
MyCatholicSuper,MyLifeMyMoney Superannuation Fund,-0.001331313
NABGSF MySuper,National Australia Bank Group Superannuation Fund A,5.45078E-05
NSF MySuper,Nationwide Superannuation Fund,-0.001052816
NESS MySuper,NESS Super,-0.000847632
Diversified (MySuper),NGS Super,-0.003190992
ANZ Smart Choice Super,OnePath Masterfund,0.016522276
ANZ Smart Choice Super_For QBE Management Services PTY LTD and their employees,OnePath Masterfund,0.01651527
Perpetual MySuper,Perpetual's Select Superannuation Fund,-0.003486502
Pitcher Retirement Plan MySuper,Pitcher Retirement Plan,0.003079498
Plum MySuper,Plum Superannuation Fund,0.000327128
MySuper,Prime Super,-0.000789291
